id,name,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,current_seller,number_of_images,category,quantity_sold,discount
89661207,Ghim Cài Quần Jean Tháo Rời điều Chỉnh Cố định Eo,14000,14000,dropship,Legaxi,14,3.9,0,Legaxi Official,5,Cài Áo,160,0.0
154165151,Miếng Nối Rộng Tăng Size Áo Ngực 3 Móc Cài Có Chun Co Dãn- Móc Nới Nhiều Màu,9400,9400,dropship,OEM,15,5.0,0,Comliti Shop,6,Cài Áo,103,0.0
172939030,GOTI - Set Ghim Cài Áo Hình Hoa Cao Cấp Sang Trọng Kiểu Charm Trang Trí Váy Đầm Dành Cho Nữ  - Ghim Cài Áo Cao Cấp SET05,9000,8550,dropship,GOTI,31,5.0,0,GOTI Official Store,1,Cài Áo,97,5.0
157183007,"Phụ kiện ghim cài áo quần thời trang cá tính, ghim điều chỉnh cổ áo lưng quần nhiều mẫu đa năng dành cho nữ",8000,8000,dropship,OEM,19,5.0,0,Shop Bio,1,Cài Áo,146,0.0
104958915,GOTI - Set Ghim Cài Áo Hình Ngọc Trai Giả Kiểu Phụ Kiện Tag Cài Sang Trọng - Cài Áo Nữ Sang Trọng GOTI CA01,15000,13500,dropship,GOTI,3,5.0,0,GOTI Official Store,3,Cài Áo,10,10.0
192794145,"Ghim băng cài áo chống hở  , ghim quần nếu rộng , kểu ngọc trai nhân tạo , thu gọn đẹp mắt",7000,7000,dropship,OEM,0,0.0,0,Thu Duyên 20988,1,Cài Áo,26,0.0
97451796,"Set 10 Cúc Áo Mini Chống Hở, Ghim Cài Áo Trang Trí, Khuy Cài Áo Thời Trang Hàn Quốc Giá Rẻ ",14500,13775,dropship,OEM,0,0.0,0,GIA DỤNG AN TÂM,9,Root,0,5.0
97009197,Dây quai trong sợi bún và sợi dẹt (monmonshop24h),15000,15000,dropship,OEM,0,0.0,0,Hàng Tiêu Dùng HTX,4,Root,0,0.0
147465819,"Sticker, Phụ Kiện, Pin cài Balo, áo , Dép hình cô gái dễ thương",2800,2800,dropship,OEM,14,5.0,0,The Alice Store,9,Root,48,0.0
154165260,Miếng Nối Rộng Tăng Size Áo Ngực 2 Móc Cài Có Chun Co Dãn- Móc Nới Nhiều Màu,8600,8600,dropship,OEM,2,5.0,0,Comliti Shop,5,Cài Áo,52,0.0
133831097,Ghim Cài Bò Sữa Trang Trí Phụ Kiện Siêu Đáng Yêu H143,4500,4500,dropship,OEM,0,0.0,0,starhungyen,10,Cài Áo,0,0.0
181794473,"Ghim cài áo, ghim cài quần rộng eo, bóp eo váy hoạ tiết ",19000,12000,dropship,OEM,0,0.0,0,GIA DỤNG AN TÂM,5,Cài Áo,0,36.84
208261213,"Set 10 Khuy Cài Cúc Áo, Combo 10 Khuy Cài Áo",15000,15000,dropship,OEM,0,0.0,0,BÀO NGƯ,1,Cài Áo,1,0.0
121333122,Ghim cúc cài áo - Mũ - Khăn - Balo trang trí GC05 (Chọn mẫu),14000,14000,dropship,OEM,0,0.0,0,My happy star,6,Cài Áo,3,0.0
122210902,GOTI - Trâm Cài Áo Hình Thiên Nga  Sang Trọng Nữ Tính Kiểu Phụ Kiện Trang Trí Trâm Cài Váy Đầm Dành Cho Nữ Cài Vest Nữ GOTI 02,15000,13500,dropship,GOTI,6,4.8,0,GOTI Official Store,1,Cài Áo,45,10.0
127343269,Miếng nối dây áo ngực loại 2 móc,6500,6500,dropship,OEM,3,5.0,0,She 18,2,Cài Áo,40,0.0
112816324,"Hoa cài váy áo đẹp, bông cài thủ công handmade có nhiều màu chất vải cao cấp",8000,8000,dropship,OEM,2,5.0,0,Hoa cài áo Bảo hân,10,Root,16,0.0
149351744,"Set 10 Khuy Cài Áo Mini Chống Hở, Ghim Cài Trang Trí Thời Trang Hàn Quốc Giá Rẻ",29888,29888,dropship,OEM,0,0.0,0,THANH PHÚC SHOP,9,Root,0,0.0
154165289,Miếng Nối Rộng Tăng Size Áo Ngực 1 Móc Cài-Móc Nới Nhiều Màu,4600,4600,dropship,OEM,0,0.0,0,Comliti Shop,6,Phụ kiện thời trang nữ,14,0.0
154165727,"Cặp Dây Áo Ngực 1,5cm Ren Hoa Co Dãn Chống Trượt Nhiều Màu",15000,15000,dropship,OEM,1,5.0,0,Comliti Shop,3,Cài Áo,7,0.0
113967946,"Combo 5 bộ khuy bấm quần áo 4 chi tiết, nút áo nựa",1800,1800,dropship,OEM,4,4.3,0,TEI HOME,10,Cài Áo,14,0.0
190852003,Tag nơ cài áo hoa trà Link 1,15000,15000,dropship,OEM,0,0.0,0,OanhOanh Accessories,5,Root,0,0.0
160889605,"[HCM] Huy Hiệu/ Ghim Cài Áo, Balo, Nón Hình Gấu Bông Teddy - Thỏ Bông Hoạt Hình Dễ Thương, Phụ Kiện Nổi Bật",15000,15000,dropship,OEM,0,0.0,0,ACDecor,9,Cài Áo,1,0.0
154166365,Miếng Nối Rộng Tăng Size Áo Ngực 2 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 2 ],5800,5800,dropship,OEM,0,0.0,0,Comliti Shop,8,Cài Áo,2,0.0
23577561,Miếng nối áo ngực bản 3 móc - trắng,10000,10000,dropship,OEM,1,5.0,0,Yên Phúc,3,Thời Trang,30,0.0
80699481,"Cài áo hoạt hình, Huy hiệu balo, Pin cài áo Cartoon Badge Nhật Bản - Cài áo CA8",9000,9000,dropship,OEM,3,4.7,0,Cài áo thời trang nam nữ,5,Root,12,0.0
154165529,Miếng Nối Rộng Tăng Size Áo Ngực 2 Móc Cài-Móc Nới Nhiều Màu [Bảng Màu 1],5800,5800,dropship,OEM,8,5.0,0,Comliti Shop,8,Cài Áo,55,0.0
112817832,"Bông cài áo, hoa cài áo váy 8cm chất vải voan cao cấp làm thủ công đẹp nhiều màu",12000,12000,dropship,OEM,0,0.0,0,Hoa cài áo Bảo hân,5,Root,0,0.0
149453330,10 Móc gài áo dài móc cài quần áo màu bạc dùng để may trang phục nam nữ,4900,4900,dropship,OEM,0,0.0,0,Pung trang,2,Root,0,0.0
139230454,"Charm biểu tượng các icon emotion mặt cười nhỏ xinh cho các bạn trang trí vỏ ốp điện thoại, kẹp tóc, cài áo, DIY",4000,4000,dropship,OEM,0,0.0,0,1naichuoi9 store 01,6,Root,0,0.0
169463034,Gim Cài Áo Quần Đa Năng Đính Châu Xinh Xắn Điểu Chỉnh Vòng Eo Thanh Lịch Duyên Dáng nhiều cỡ - QUEENS,11000,6050,dropship,OEM,0,0.0,0,QueenStore,10,Cài Áo,3,45.0
102894266,"Hoa Cài Áo Váy Cao Cấp Có Ghim, Combo Trâm Gài Hoa",9000,9000,dropship,OEM,1,5.0,0,Qshopnew,7,Root,5,0.0
154165860,Miếng Nối Rộng Tăng Size Áo Ngực 3 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 1 ],6600,6600,dropship,OEM,8,5.0,0,Comliti Shop,7,Cài Áo,39,0.0
197100288,"Ghim cài áo,Balo hoạt hình dễ thương",5000,5000,dropship,OEM,0,0.0,0,QuinQuin Store,6,Cài Áo,1,0.0
137861799,"PHỤ KIỆN CHỐT KHUYÊN TAI, BÔNG TAI KIM LOẠI",7000,7000,dropship,OEM,0,0.0,0,NgọcHY Accessories,4,Cài Áo,1,0.0
81223301,"Cài áo đính đá chữ nhật. KT 1,5 x 3cm",13000,13000,dropship,OEM,0,0.0,0,Forget me not,1,Root,0,0.0
191022025,HOA CÀI ÁO ĐÁM CƯỚI - BÔNG CÀI ÁO ĐÁM CƯỚI SIÊU ĐẸP,3000,3000,dropship,OEM,0,0.0,0,Quà Tặng Shop 20,13,Cài Áo,0,0.0
72972906,Móc nối dây áo ngực miếng nối áo lót 3 hàng móc,5000,5000,dropship,OEM,1,5.0,0,Ohbeiu,9,Phụ kiện thời trang nữ,23,0.0
176295733,Ghim cài áo điều chỉnh lưng quần phong cách hàn quốc,12999,12999,dropship,OEM,0,0.0,0,THANH PHÚC SHOP,22,Cài Áo,2,0.0
138383511,"Huy Hiệu/ Ghim Cài Áo, Balo, Túi Xách Hoạt Hình Siêu Dễ Thương",9000,9000,dropship,OEM,0,0.0,0,Shop Tậnnn Tâm,5,Root,0,0.0
207209777,Ghim trang trí cài áo Ghim cố định thu nhỏ độ rộng cạp quần tiện dụng,20000,12000,dropship,OEM,0,0.0,0,Yams Closet,10,Root,0,40.0
143739540,Set 10 tem dán Thank you hình gấu trúc nhiều họa tiết,5000,5000,dropship,OEM,0,0.0,0,BA LEM SHOP,3,Cài Áo,0,0.0
19550921,Combo 2 miếng nối áo ngực,20000,20000,dropship,OEM,7,5.0,0,Yên Phúc,8,Thời Trang,46,0.0
167595045,Ghim cài áo balo huy hiệu thiết kế hình động vật dễ thương phong cách Hàn Quốc đáng yêu giao ngẫu nhiên,4000,4000,dropship,OEM,0,0.0,0,Tytytoys88,8,Cài Áo,1,0.0
142716181,"Huy hiệu balo, Pin cài áo Cartoon Badge Nhật Bản 02",2000,2000,dropship,OEM,0,0.0,0,Cú mèo store,9,Root,4,0.0
148006768,kim tây đầu bọc nhựa nhiều màu 1 cây,2000,2000,dropship,OEM,0,0.0,0,Bùi Việt Anh,3,Root,2,0.0
154165143,Miếng Nối Rộng Tăng Size Áo Ngực 5 Móc Cài Có Chun Co Dãn- Móc Nới Nhiều Màu,13000,13000,dropship,OEM,0,0.0,0,Comliti Shop,3,Cài Áo,0,0.0
151428638,Cài áo mẫu đá đẹp nhỏ xinh dể trang trí,14990,14990,dropship,OEM,0,0.0,0,maycatvai,5,Root,1,0.0
183496326,"M276N. KLHSTORE2018.Nút phụ kiện cài áo mini trang trí, chống hở tháo gỡ dễ dàng",28000,28000,dropship,OEM,0,0.0,0,CỦ SU HÀO,10,Root,0,0.0
138386453,"Huy Hiệu/ Ghim Cài Áo, Balo, Túi Xách Mẫu Trái Cây Đáng Yêu",10450,10450,dropship,OEM,0,0.0,0,Shop Tậnnn Tâm,5,Cài Áo,0,0.0
136207909,"GIÁ SỐC - HOA CÀI ÁO ĐÁM CƯỚI CHO NGƯỜI THÂN, GIA ĐÌNH",4000,4000,dropship,OEM,0,0.0,0,TRANGPHUCPHUKIENCODAU,3,Root,0,0.0
81222394," Sét 2 cái trâm cài cổ áo - măng sét ...Dài 2,5cm",14000,14000,dropship,OEM,0,0.0,0,Forget me not,1,Root,0,0.0
143739522,SET 10 tem Thank you màu nâu vintage,5000,5000,dropship,OEM,0,0.0,0,BA LEM SHOP,3,Cài Áo,0,0.0
81223842,"Cài áo hoa cúc thả. KT 2 x 4,6cm",13000,13000,dropship,OEM,0,0.0,0,Forget me not,2,Root,0,0.0
117555362,hoa cài đại biểu,15000,15000,dropship,OEM,0,0.0,0,In thêu may cờ Hoàng Gia,9,Cài Áo,0,0.0
23577563,Miếng nối áo ngực bản 3 móc - đen,10000,10000,dropship,OEM,0,0.0,0,Yên Phúc,3,Thời Trang,30,0.0
190842879,HOA CÀI ÁO ĐÁM CƯỚI - BÔNG CÀI ÁO ĐÁM CƯỚI,3000,3000,dropship,OEM,0,0.0,0,Ngọc Susi Shop,12,Cài Áo,0,0.0
142997810,Phụ liệu cài áo ( set 5 cái),6000,6000,dropship,OEM,0,0.0,0,Nguyên liệu handmade,1,Root,0,0.0
154165563,"Cặp Dây Áo Ngực Trong Suốt Loại 1Cm Và 1,5Cm Siêu Dai Co Dãn Chống Trượt",9000,9000,dropship,OEM,0,0.0,0,Comliti Shop,6,Phụ kiện thời trang,13,0.0
174316693,1 cái Pin cài áo/túi xách bông hoa bằng len khách được chọn màu,14000,14000,dropship,OEM,0,0.0,0,Nhà Puka Len Handmade,1,Cài Áo,0,0.0
178940435,Nhẫn nữ đeo tay hình hoa điều chỉnh kích thước bạc/vàng,12000,12000,dropship,OEM,0,0.0,0,uyen97boutique,6,Cài Áo,0,0.0
109293338,"GOTI  - Set Bộ 5 Món Pin Cài Áo Siêu Hot, Hoặc Set Bộ 3 Trâm Cài Trang Trí Cổ Áo, Váy Đầm, Balo, Nón SET02",20000,18000,dropship,GOTI,38,5.0,0,GOTI Official Store,4,Cài Áo,416,10.0
170247379,"4 cái Sticker, Huy hiệu cài áo, tích cơ ghim balo, túi xách",9000,9000,dropship,OEM,0,0.0,0,PQ'Shop,7,Root,0,0.0
117554151,hoa cài áo đại biểu,15000,15000,dropship,OEM,0,0.0,0,In thêu may cờ Hoàng Gia,9,Cài Áo,0,0.0
143739523,SET 10 tem Thank you bắn tym ngọt ngào nồng cháy,5000,5000,dropship,OEM,0,0.0,0,BA LEM SHOP,3,Cài Áo,0,0.0
81247808,"Nơ bướm cà vạt cho bé, đeo cùng áo sơ mi trong các dịp lễ, tiệc.",14000,11340,dropship,OEM,0,0.0,0,Socnaukids,3,Cài Áo,0,19.0
138383184,"Huy Hiệu/ Ghim Cài Áo Hình Xương Rồng, Cà Rốt Xinh Xắn Nhiều Mẫu",10500,10500,dropship,OEM,0,0.0,0,Shop Tậnnn Tâm,8,Root,0,0.0
23516969,Dây áo trong bản nhí sợi bún,10000,10000,dropship,OEM,3,5.0,0,Yên Phúc,2,Cài Áo,11,0.0
189457947,Ghim cài bông Con Vật nhiễu mẫu đáng yêu giá rẻ trang trí mũ balo túi chéo cute quà tặng học sinh,8300,8300,dropship,OEM,0,0.0,0,Balo học sinh đẹp độc,14,Cài Áo,1,0.0
194860535,"Bộ 2 dây áo ngực trong suốt mềm dẻo móc nhựa có thể điều chỉnh kích thước, dây quai áo lót, dây áo con sợi dẹp",8000,8000,dropship,OEM,0,0.0,0,FC Furniture,7,Root,3,0.0
108254228,Hoa Cài Trang Trí Váy Áo Voan Lụa Nhỏ Xinh Kèm Lá. (Đã có gim cài),14000,14000,dropship,OEM,5,4.8,0,Sukashop86,5,Root,5,0.0
118280908,"Sticker huy hiệu cài áo, ba lô, túi.... loại đẹp",7000,7000,dropship,OEM,0,0.0,0,TUCANVAS XƯỞNG CANVAS ECOBAGS,3,Root,0,0.0
191041196,5 BÔNG CÀI ÁO ĐÁM CƯỚI - HOA CÀI ÁO ĐÁM CƯỚI SIÊU ĐẸP,15000,15000,dropship,OEM,0,0.0,0,Quà Tặng Shop 20,13,Cài Áo,0,0.0
169054889,Set 12 Kim băng cài áo chất liệu hợp kim cao cấp,8500,8500,dropship,OEM,0,0.0,0,Kho gia dụng 89,1,Root,17,0.0
100354935,Ghim/pins cài cố định quần/áo HOT TREND 2021 ulzzang,14999,14999,dropship,OEM,0,0.0,0,THANH PHÚC SHOP,9,Root,14,0.0
154165511,Miếng Nối Rộng Tăng Size Áo Ngực 4 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 2 ],8000,8000,dropship,OEM,0,0.0,0,Comliti Shop,7,Cài Áo,1,0.0
231262376,Ghim cài áo thay cúc đặc biệt size to GC190,14960,14960,dropship,Song An Eco,0,0.0,0,Thuần Việt,10,Root,0,0.0
154165157,"Móc Cài Lưng Căn Chỉnh Dây Áo, Dây Váy Nhiều Mẫu",4600,4600,dropship,OEM,0,0.0,0,Comliti Shop,8,Phụ kiện thời trang nữ,5,0.0
23582349,Combo 2 miếng nối áo ngực bản 2 móc - đỏ tươi,20000,20000,dropship,OEM,1,5.0,0,Yên Phúc,2,Thời Trang,2,0.0
201677316,Mặt Nạ Cho Mắt Giảm Quầng Thâm Chống Lão Hóa,6000,3000,dropship,OEM,0,0.0,0,BlueStoreVina,3,Cài Áo,1,50.0
149453584,Ghim cài áo hình hoa đính kim cương nhiều màu nhân tạo dễ thương để trang trí quần áo,14400,14400,dropship,OEM,0,0.0,0,Pung trang,7,Cài Áo,0,0.0
213559474,Cài ÁoSet 10 Ghim Cài Mini Siêu Dễ Thương có sỉ,15000,15000,dropship,OEM,0,0.0,0,gia dụng thông minh 668,9,Root,2,0.0
141591260,"Tag hoa cài váy đầm, phụ kiện cài áo cao cấp ",8000,8000,dropship,OEM,0,0.0,0,Eva Kross Store,8,Cài Áo,0,0.0
194860585,(Hàng có sẵn) 36 băng dính thời trang cố định quần áo - Miếng dán chống trượt Unisex - Fashion tape,13000,13000,dropship,OEM,0,0.0,0,FC Furniture,9,Root,1,0.0
138384479,"Huy Hiệu Cài Áo, Ba Lô Nhựa Acrylic Mẫu Động Vật Dễ Thương",14000,14000,dropship,OEM,0,0.0,0,Shop Tậnnn Tâm,8,Root,0,0.0
194483215,"Ghim Cài Áo,Balo Hình Con Hổ Hoạt Hình 2022",5000,5000,dropship,OEM,0,0.0,0,QuinQuin Store,5,Cài Áo,0,0.0
118534229,Móc nối áo ngực - Miếng nới rộng áo ngực,4000,4000,dropship,OEM,2,5.0,0,Big Shop thời trang trẻ em,1,Root,3,0.0
174430325,Hoa cài trang trí có nhụy siêu xinh nhiều màu size 8cm đã gắn sẵn ghim cài,8000,8000,dropship,OEM,0,0.0,0,Sukashop86,8,Cài Áo,0,0.0
194860494,(Hàng có sẵn) Băng dính thời trang cố định quần áo - Miếng dán áo chống hở Unisex - Fashion tape,12000,12000,dropship,OEM,0,0.0,0,FC Furniture,9,Root,0,0.0
150648139,01 Cài áo nữ dễ thương (giao mẫu ngẫu nhiên) phụ kiện phong cách Nhật Bản Hàn Quốc,5000,5000,dropship,OEM,0,0.0,0,Tranh Vải Treo Tường HN,8,Root,0,0.0
118117673,Dây áo trong,8000,8000,dropship,OEM,0,0.0,0,MIU SHOP 17,4,Cài Áo,0,0.0
149194121,Gim cài c62(1hop nhỏ),4400,4400,dropship,OEM,0,0.0,0,Hường Hiệu VPP và ĐC mầm non,1,Root,0,0.0
148019263,Ghim cài áo đính Hạt kiểu dáng retro thời trang phong cách Hàn Quốc - Phôi ghim Pin cài Túi Xách Bách hóa nana,3000,3000,dropship,OEM,0,0.0,0,Bách hóa NaNa,7,Root,0,0.0
148018895,diy Kẹp Tóc Hình Hoa Kiểu Hàn Quốc Xinh Xắn Cho Nữ/ diy tự móc hoa làm handmade/ kit làm cài áo hoa tú cầu/ nana shop,10000,10000,dropship,OEM,0,0.0,0,Bách hóa NaNa,8,Root,0,0.0
23582341,Combo 2 miếng nối áo ngực bản 2 móc - da,20000,20000,dropship,OEM,0,0.0,0,Yên Phúc,3,Thời Trang,2,0.0
178100982,"Móc nối áo ngực, nới rộng áo ngực loại 3 móc",6000,6000,dropship,Azuno,0,0.0,0,Azuno Official,3,Cài Áo,4,0.0
117029348,Móc Cài Tăng Size Áo Ngực Linh Hoạt Loirechic MC04,10000,10000,dropship,Loirechic,14,5.0,0,Loirechic Official,1,Cài Áo,78,0.0
81223432,"Cài áo kim tây đính hạt. KT 1,5 x 5cm",15000,15000,dropship,OEM,0,0.0,0,Forget me not,1,Root,1,0.0
154165310,Miếng Nối Rộng Tăng Size Áo Ngực 3 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 2 ],6600,6600,dropship,OEM,0,0.0,0,Comliti Shop,7,Cài Áo,1,0.0
23577567,Miếng nối áo ngực bản 3 móc - da lợt,10000,10000,dropship,OEM,1,5.0,0,Yên Phúc,3,Thời Trang,7,0.0
201244496,Hoa Cài Áo Cúc Voan Màu Siêu Xinh UK Fashion NKPK2204001,15000,15000,dropship,UK Fashion,0,0.0,0,UK FASHION OFFICIAL,6,Cài Áo,0,0.0
116898644,Móc Nối Áo Ngực Loirechic MC0102,5000,5000,dropship,Loirechic,2,4.5,0,Loirechic Official,1,Cài Áo,65,0.0
81223354,Cài áo hình cánh quạt đính đá. Dài 5cm,15000,15000,dropship,OEM,0,0.0,0,Forget me not,1,Root,0,0.0
105138254,Dây Áo Trong Sợi Bún Hàn Quốc,9900,9900,dropship,OEM,0,0.0,0,Store191,2,Root,0,0.0
117555351,"hoa cài dại biểu, hoa cài áo đại biểu, hoa cài ngực đại biểu",15000,15000,dropship,OEM,0,0.0,0,In thêu may cờ Hoàng Gia,7,Cài Áo,0,0.0
147485550,"Sticker, phụ kiện, pin cài Balo, áo bò sữa siêu đáng yêu",2800,2800,dropship,OEM,8,5.0,0,The Alice Store,8,Root,21,0.0
178116854,Set 100 hạt pha lê thủy tinh 4mm làm trang sức thủ công diy,11000,11000,dropship,OEM,0,0.0,0,Le Hobbies,2,Cài Áo,0,0.0
198701230,Cài Áo Ngực Phụ Hai Hàng Móc Nới Rộng Vòng Chân Áo ( CA : 001 ) Hàng Loại Đẹp.,7500,7500,dropship,OEM,0,0.0,0,Huongnoiy,10,Root,0,0.0
81222871,Cài áo kim tây đính hạt. Dài 5cm,13000,13000,dropship,OEM,0,0.0,0,Forget me not,1,Root,0,0.0
81222798,"Cài áo bằng kim loại . Kích thước 2,5x2,5cm",14000,14000,dropship,OEM,1,5.0,0,Forget me not,2,Root,1,0.0
139214907,"Combo 10 Phôi ghim cài áo, kim băng cho các bạn mua về gắn charm thành huy hiệu, brooch, DIY",10000,10000,dropship,OEM,0,0.0,0,1naichuoi9 store 01,3,Root,0,0.0
154166500,Cặp Dây Áo Ngực Rộng 1Cm Co Dãn Nhiều Màu,9000,9000,dropship,OEM,0,0.0,0,Comliti Shop,6,Phụ kiện thời trang nữ,7,0.0
116775595,Miếng nối móc áo lót 3 nấc cài,10000,10000,dropship,OEM,0,0.0,0,Tổng kho buôn đồ lót koto,1,Cài Áo,0,0.0
113058768,Combo 2 chiếc Móc nối áo ngực bản 2 móc - Miếng nới rộng áo ngực 2 nấc - CHILLHOUSE,7500,7500,dropship,OEM,0,0.0,0,Chill House,3,Cài Áo,0,0.0
196727850,Dây nối áo ngực nữ Charmila giúp tăng size móc nối chất liệu thép không gỉ loại 4 hàng,8000,8000,dropship,Charmila,0,0.0,0,Charmila Official Store,2,Cài Áo,0,0.0
154166454,"10 Khoen, Móc Tander Kim Loại Phủ Sơn Điều Chỉnh Dài Ngắn Dây Áo",13000,13000,dropship,OEM,1,5.0,0,Comliti Shop,4,Cài Áo,2,0.0
117555373,"hoa cài áo đại biểu , hoa cài ngực đại biểu",15000,15000,dropship,OEM,0,0.0,0,In thêu may cờ Hoàng Gia,9,Cài Áo,0,0.0
98329544," SÉT 3 Khuy cài áo HÓT HÍT thông minh, tinh tế, xinh đẹp",13000,13000,dropship,OEM,1,3.0,0,TÓC GIẢ TẤM XINH,9,Root,19,0.0
190842890,5 BÔNG CÀI ÁO ĐÁM CƯỚI - HOA CÀI ÁO ĐÁM CƯỚI RẤT ĐẸP,15000,15000,dropship,OEM,0,0.0,0,Ngọc Susi Shop,12,Cài Áo,3,0.0
149436359,"40 cây Kim Ghim may loại tốt , để định ghim vải khỏi bị sê dịch",8400,8400,dropship,OEM,2,5.0,0,Shop Máy Cắt,3,Root,50,0.0
177968873,Trâm cài quần áo dính ngọc trai giả,10000,10000,dropship,OEM,0,0.0,0,hangquangchauuytin,2,Cài Áo,0,0.0
73652729,"Ghim Cài Hình Hoa Cúc, Cài áo , Mũ, Balo, Túi Xách Cực Hot hj1",13000,13000,dropship,OEM,0,0.0,0,Back Shop,1,Root,1,0.0
121400747,Dây áo trong sợi bún Hàn Quốc,10000,10000,dropship,OEM,0,0.0,0,Shop Chipxk,4,Root,5,0.0
217171042,"Combo 10 Khuy Cài Áo, Set 10 Khuy Cài Cúc Áo",15000,15000,dropship,OEM,0,0.0,0,Đồ gia dụng thủ đức 85,9,Root,1,0.0
167156945,Huy hiệu cài áo dễ thương,5000,5000,dropship,OEM,0,0.0,0,Bản Mây Vintage,3,Root,0,0.0
196719483,Dây nối áo ngực nữ Charmila giúp tăng size móc nối chất liệu thép không gỉ loại 3 hàng,8000,8000,dropship,Charmila,0,0.0,0,Charmila Official Store,2,Cài Áo,0,0.0
151576822,Yếm Đeo Cổ Cúc Bấm Tiện Lợi Màu Sắc Đáng Yêu,6800,6800,dropship,OEM,14,5.0,0,KiKi House,1,Cài Áo,126,0.0
102500658, HÀNG LOẠI 1- Một dôi dây trong sợi bún hàng xịn đẹp_ CẶP DÂY TRONG SỢI NHỎ (kèm ảnh thật),10800,10800,dropship,OEM,0,0.0,0,Shop Thời Trang Huyền Anh,6,Cài Áo,2,0.0
143739463,Set 10 tem Thank you hình chú mèo nâu sociuuu nhiều họa tiết,5000,5000,dropship,OEM,0,0.0,0,BA LEM SHOP,3,Cài Áo,0,0.0
81223055,"Cài áo cúc hoạ mi. Kích thước 3,5 x 3,5cm",12000,12000,dropship,OEM,0,0.0,0,Forget me not,1,Root,0,0.0
149193260,1h gim cài màu,11000,11000,dropship,OEM,0,0.0,0,Hường Hiệu VPP và ĐC mầm non,1,Root,0,0.0
169866044,Dây áo ngực trong Silicon Lotus,15000,15000,dropship,	OEM,0,0.0,0,ShopDucThang,2,Cài Áo,0,0.0
178116233,Set 25gr Cườm Bẹt Dùng Làm Trang Sức Thủ Công.,6050,6050,dropship,OEM,0,0.0,0,Le Hobbies,2,Cài Áo,0,0.0
184683125,Trâm Cài Áo Hình Hoa Hình Dễ Thương Phong Cách Hàn Quốc i87,10000,10000,dropship,OEM,0,0.0,0,starhungyen,8,Root,0,0.0
143739422,Set 10 tem Thank you ngẫu nhiên (nhiều mẫu),5000,5000,dropship,OEM,0,0.0,0,BA LEM SHOP,9,Cài Áo,0,0.0
196802070,"Hộp quà tặng nhỏ nhắn xinh xắn, hộp móc khóa, ghim cài áo",15000,15000,dropship,OEM,0,0.0,0,Shophukienam,5,Root,0,0.0
196709336,Dây nối áo ngực nữ Charmila giúp tăng size móc nối chất liệu thép không gỉ loại 2 hàng móc,8000,8000,dropship,Charmila,0,0.0,0,Charmila Official Store,2,Cài Áo,0,0.0
